,name,hometown,high school?,sport,college
80,Dymond Lee,"Reseda, Calif.",Chaminade Prep,football,ucla
81,Demetric Felton,"Temecula, Calif.",Great Oak,football,ucla
82,Colin Samuel,"Long Beach, Calif.",Long Beach Poly,football,ucla
83,Keisean Lucier-South,"Santa Ana, Calif.",Orange Lutheran,football,ucla
84,Audie Omotosho,"Plano, Texas",Plano East,football,ucla
85,Austin Burton,"Newton, Mass.",West Orange,football,ucla
86,Rahyme Johnson,"Leimert Park, Calif.",Bishop Mora Salesian,football,ucla
87,Krys Barnes,"Bakersfield, Calif.",Liberty,football,ucla
88,Theo Howard,"Westlake Village, Calif.",Westlake,football,ucla
89,Matt Lynch,"Broomfield, Colo.",Legacy,football,ucla
90,Jaelan Phillips,"Redlands, Calif.",Redlands East Valley,football,ucla
91,Andrew Strauch,"Piedmont, Calif.",Piedmont,football,ucla
92,JJ Molson,"Montreal, QC, Canada",Selwyn House School,football,ucla
93,Josiah Norwood,"Cypress, Calif.",Santa Margarita Catholic,football,ucla
94,Christian Pabico,"Long Beach, Calif.",Long Beach Poly,football,ucla
95,Kazmeir Allen,"Tulare, Calif.",Tulare Union,football,ucla
96,Alex Johnson,"Carson, Calif.",Loyola,football,ucla
97,Stefan Flintoft,"Westchester, Calif.",Loyola,football,ucla
98,Brandon Stephens,"Plano, Texas",Plano,football,ucla
99,Michael Ezeike,"Rancho Cucamonga, Calif.",Colony,football,ucla
100,Quentin Wallace,"Clarendon Hills, Ill.",Hinsdale Central,football,ucla
101,Kenroy Higgins II,"Oakland, Calif.",Liberty,football,ucla
102,Nate Meadors,"San Bernardino, Calif.",San Gorgonio,football,ucla
103,Kenny Churchwell III,"Casa Grande, Ariz.",Mountain Pointe,football,ucla
104,Chase Cota,"Medford, Ore.",South Medford,football,ucla
105,Jay Shaw,"Corona, Calif.",Centennial,football,ucla
106,Antonio  Brown,"Los Angeles, Calif.",Campbell Hall School,football,ucla
107,Tyree Thompson,"Pacoima, Calif.",Bishop Alemany,football,ucla
108,Martell Irby,"San Diego, Calif.",Morse,football,ucla
109,Leni Toailoa,"Rialto, Calif.",Carter,football,ucla
110,Patrick Jolly,"Tampa, Fla.",Newsome,football,ucla
111,Joshua  Kelley,"Lancaster, Calif.",Eastside,football,ucla
112,Cole Kinder,"Newport Beach, Calif.",Newport Harbor,football,ucla
113,Delon Hurt,"Ontario, Calif.",Servite,football,ucla
114,Ryan Parks,"Manhattan Beach, Calif.",Loyola,football,ucla
115,Johnny Den Bleyker,"Fremont, Calif.",Moreau Catholic,football,ucla
116,Elisha Guidry,"Murrieta, Calif.",Vista Murrieta,football,ucla
117,Zack Huffstutter,"West Linn, Ore.",West Linn,football,ucla
118,Mique Juarez,"Torrance, Calif.",North,football,ucla
119,Bo Calvert,"Oxnard, Calif.",Oaks Christian,football,ucla
120,Drew Platt,"La Palma, Calif.",Los Alamitos,football,ucla
121,Rahjae Johnson,"Oakland, Calif.",Hiram W. Johnson,football,ucla
122,Quentin  Lake,"Irvine, Calif.",Mater Dei,football,ucla
123,Ethan Fernea,"Dripping Springs, Texas",Dripping Springs,football,ucla
124,Alex Michaelsen,"Newport Beach, Calif.",Newport Harbor,football,ucla
125,Jayce Smalley,"Kaneohe, Hawai'i",Servite,football,ucla
126,Je'Vari Anderson,"West Oakland, Calif.",De La Salle,football,ucla
127,"Martin  Andrus, Jr.","Long Beach, Calif.",Los Angeles Senior,football,ucla
128,Donovan Williams,"Rancho Cucamonga, Calif.",Los Osos,football,ucla
129,Shea Pitts,"Agoura Hills, Calif.",Oaks Christian,football,ucla
130,Winston  Anawalt,"San Gabriel, Calif.",Loyola,football,ucla
131,Collin Flintoft,"Pacific Palisades, Calif.",Loyola,football,ucla
132,Tyler Manoa,"Hayward, Calif.",St. Francis,football,ucla
133,Ethan Matus,"San Jose, Calif.",Archbishop Mitty,football,ucla
134,Lokeni Toailoa,"Rialto, Calif.",Carter,football,ucla
135,Winston Polite,"Los Angeles, Calif.",Notre Dame,football,ucla
136,Michael Alves,"San Diego, Calif.",St. Augustine,football,ucla
137,Steven Mason,"San Diego, Calif.",Torrey Pines,football,ucla
138,Atonio Mafi,"Shoreview, Calif.",Junipero Serra,football,ucla
139,Josh Wariboko-Alali,"Edmond, Okla.",Casady,football,ucla
140,Jon Gaines,"Wauwatosa, Wisc.",Marquette University,football,ucla
141,Koby Walsh,"Los Angeles, Calif.",Notre Dame,football,ucla
142,Zach Sweeney,"Cooper City, Fla.",St. Thomas Aquinas,football,ucla
143,Bryan Weitzman,"Oak Park, Calif.",Oak Park,football,ucla
144,Sam  Marrazzo,"Aliso Viejo, Calif.",Aliso Niguel,football,ucla
145,Stephen DeFranco,"Corona, Calif.",Santiago,football,ucla
146,Mohamed Khalil,"San Diego, Calif.",St. Augustine,football,ucla
147,Alec Anderson,"Fontana, Calif.",Etiwanda HS,football,ucla
148,Baraka Beckett,"Pacific Palisades, Calif.",Palisades Charter,football,ucla
149,Zach Cochrun,"San Clemente, Calif.",San Clemente,football,ucla
150,Jake Burton,"Alpine, Calif.",Granite Hills,football,ucla
151,Justin Murphy,"Belton, Texas",Belton,football,ucla
152,Boss Tagaloa,"Pittsburgh, Calif.",De La Salle,football,ucla
153,Christaphany Murray,"Palmdale, Calif.",Mater Dei,football,ucla
154,Andre James,"Herriman, Utah",Herriman,football,ucla
155,Lucas Gramlick,"American Canyon, Calif.",American Canyon,football,ucla
156,Caleb Wilson,"Dallas, Texas",Serra,football,ucla
157,Matt Alaimo,"Paramus, N.J.",St. Joseph Regional,football,ucla
158,David Priebe,"Waco, Texas",Midway,football,ucla
159,Greg Dulcich,"Glendale, Calif.",St. Francis,football,ucla
160,Moses Robinson-Carr,"Lancaster, Calif.",Antelope Valley,football,ucla
161,Devin Asiasi,"Shoreview, Calif.",De La Salle,football,ucla
162,Jordan Wilson,"Nashville, Tenn.",Montgomery Bell Academy,football,ucla
163,Connor Beadles,"Pasadena, Calif.",Loyola,football,ucla
164,Rick Wade,"Santa Margarita, Calif.",Santa Margarita Catholic,football,ucla
165,Otito Ogbonnia,"Houston, Texas",James E. Taylor,football,ucla
166,Osa Odighizuwa,"Portland, Ore.",David Douglas,football,ucla
167,Chigozie Nnoruka,"Sacramento, Calif.",Kennedy,football,ucla
168,Marcus Moore,"Pasadena, Calif.",Crespi,football,ucla
169,Odua Isibor,"Phoenix, Ariz.",St. Mary's,football,ucla
170,Crawford Pierson,"Westlake Village, Calif.",Westlake,football,ucla
171,Elijah Wade,"Las Vegas, Nev.",Arbor View,football,ucla
172,Justin Garces,"Miami, Fla.",Rivers Academy,mens soccer,ucla
173,Eirik Baekkelund,"Oslo, Norway",Norwegian High School of Elite Sports,mens soccer,ucla
174,Alex Knox,"Indianapolis, Ind.",Wake Forest,mens soccer,ucla
175,Erik Holt,"San Diego, Calif.",Vista Grande HS,mens soccer,ucla
176,Brandon Terwege,"Highland Village, Texas",Marcus HS,mens soccer,ucla
177,Andrew Paoli,"San Jose, Calif.",Leigh HS,mens soccer,ucla
178,Milan Iloski,"Escondido, Calif.",San Pasqual HS,mens soccer,ucla
179,Anderson Asiedu,"Hoboken, N.J.",Monmouth,mens soccer,ucla
180,Santiago Herrera,"Barquismeto, Venezuela",U.E. Antonio Jose de Sucre,mens soccer,ucla
181,Mohammed Kamara,"Monrovia, Liberia",Tyler Junior College,mens soccer,ucla
182,Kike Poleo,"Miami, Fla.",Gulliver Prep,mens soccer,ucla
183,Roman Martin,"San Diego, Calif.",Wake Forest,mens soccer,ucla
184,Eric Iloski,"Escondido, Calif.",San Pasqual HS,mens soccer,ucla
185,Paul Caspar,"Solingen, Germany",Alexander-Coppel Gesamtschule,mens soccer,ucla
186,Matt  Hundley,"Littleton, Colo.",Arapahoe HS,mens soccer,ucla
187,Robert Knights,"Irvine, Calif.",Northwoods HS,mens soccer,ucla
188,Blayne Martinez,"Dana Point, Calif.",San Clemente HS,mens soccer,ucla
