,name,hometown,high school?,sport,college
85,Alex Cook,"Sacramento, Calif.",Sheldon,football,washington
86,Amandre Williams,"Maple Valley, Wash.",Tahoma,football,washington
87,Tevis Bartlett,"Cheyenne, Wyo.",East,football,washington
88,Isaiah Gilchrist,"Bellevue, Wash.",Bellevue,football,washington
89,Austin Osborne,"Rancho Santa Margarita, Calif.",Mission Viejo,football,washington
90,Hunter  Bryant,"Issaquah, Wash.",Eastside Catholic,football,washington
91,Kyler Gordon,"Mukilteo, Wash.",Archbishop Thomas Murphy,football,washington
92,Ty  Jones,"Provo, Utah",Provo,football,washington
93,Dominique Hampton,"Glendale, Ariz.",Centenniel,football,washington
94,Quinten Pounds,"Cypress, Calif.",Cypress,football,washington
95,Richard Newton,"Lancaster, Calif.",Palmdale,football,washington
96,Jordan Miller,"Oceanside, Calif.",Oceanside,football,washington
97,DeShon Williams,"Maple Valley, Wash.",Tahoma,football,washington
98,Kamari Pleasant,"Rialto, Calif.",Etiwanda,football,washington
99,Ben Burr-Kirven,"Menlo Park, Calif.",Sacred Heart Prep,football,washington
100,Sean McGrew,"Torrance, Calif.",St. John Bosco,football,washington
101,Salvon  Ahmed,"Kirkland, Wash.",Juanita,football,washington
102,Keith Taylor,"Long Beach, Calif.",Servite,football,washington
103,Terrell Bynum,"Long Beach, Calif.",St. John Bosco,football,washington
104,Julius Irvin,"Anaheim, Calif.",Servite,football,washington
105,Josh Rasmussen,"Lake Stevens, Wash.",Lake Stevens,football,washington
106,Kyler Manu,"Pocatello, Idaho",Highland,football,washington
107,David Pritchard,"Renton, Wash.",Eastside Catholic,football,washington
108,Joel Whitford,"Neerim South, Australia",Warragul,football,washington
109,Ben Hines,"Snohomish, Wash.",Archbishop Murphy,football,washington
110,Jamyn Patu,"Seattle, Wash.",O'Dea,football,washington
111,Dustin Bush,"San Diego, Calif.",Mira Mesa,football,washington
112,Jack Westover,"Bellevue, Wash.",Mount Si,football,washington
113,Zechariah Brown,"Seattle, Wash.",Cleveland,football,washington
114,Sean Vergara,"Selah, Wash.",Selah,football,washington
115,Myles Rice,"Houston, Texas",Bush,football,washington
116,Van Soderberg,"Olympia, Wash.",Capital,football,washington
117,Jackson Sirmon,"Brentwood, Tenn.",Brentwood Academy,football,washington
118,Jusstis Warren,"Tacoma, Wash.",Lincoln,football,washington
119,Dylan Williams,"Half Moon Bay, Calif.",Half Moon Bay,football,washington
120,Race Porter,"Seattle, Wash.",O'Dea,football,washington
121,Ian Biddle,"Woodinville, Wash.",Woodinville,football,washington
122,Peyton Henry,"Danville, Calif.",Monte Vista,football,washington
123,Jeffrey Ulofoshio,"Anchorage, Alaska",N/A,football,washington
124,A.J. Carty,"Santa Ana, Calif.",Servite,football,washington
125,MJ Tafisi,"West Jordan, Utah",Sandy,football,washington
126,Jaxson Kirkland,"Portland, Ore.",Jesuit,football,washington
127,Ariel Ngata,"Reno, Nev.",Folsom,football,washington
128,Jake Wambaugh,"San Diego, Calif.",Point Loma,football,washington
129,Matt Preston,"Corona, Calif.",Diamond Ranch,football,washington
130,Ryan Bowman,"Bellevue, Wash.",IMG Academy (Fla.),football,washington
131,Nick Harris,"Inglewood, Calif.",JSerra Catholic,football,washington
132,Jared Pulu,"Federal Way, Wash.",Federal Way,football,washington
133,John Clark,"Marysville, Wash.",Marysville Getchell,football,washington
134,Kaleb McGary,"Fife, Wash.",Fife,football,washington
135,Zion Tupuola-Fetui,"Pearl City, Hawai'i",Pearl City,football,washington
136,Draco Bynum,"Wilsonville, Ore.",Wilsonville,football,washington
137,Henry Roberts,"Bellevue, Wash.",Bellevue,football,washington
138,Cole Norgaard,"Clements, Calif.",St. Mary's,football,washington
139,A.J. Kneip,"Belleuve, Wash.",Bellevue,football,washington
140,Henry Bainivalu,"Sammamish, Wash.",Skyline,football,washington
141,Chase Skuza,"Sumner, Wash.",Sumner,football,washington
142,M.J. Ale,"Tacoma, Wash.",Fife,football,washington
143,Will Pliska,"Kirkland, Wash.",Lake Washington,football,washington
144,Jared Hilbers,"Beaverton, Ore.",Beaverton,football,washington
145,Matt James,"Coeur d'Alene, Idaho",Coeur d'Alene,football,washington
146,Trey Adams,"Wenatchee, Wash.",Wenatchee,football,washington
147,Jesse Sosebee,"Garden Grove, Calif.",Edison,football,washington
148,Luke Wattenberg,"Trabuco Canyon, Calif.",JSerra Catholic,football,washington
149,Devin Burleson,"Palmdale, Calif.",Highland,football,washington
150,Luke Lane,"Belleuve, Wash.",Bellevue,football,washington
151,Matteo Mele,"Tucson, Ariz.",Salpointe Catholic,football,washington
152,Victor Curne,"Houston, Texas",Second Baptist,football,washington
153,Max Richmond,"Bellevue, Wash.",Bellevue,football,washington
154,Trey Lowe,"Portland, Ore.",Jesuit,football,washington
155,Sebastian Valerio,"Irvine, Calif.",Beckman,football,washington
156,Jordan Chin,"San Fernando, Calif.",Chaminade Prep,football,washington
157,Devin Culp,"Spokane, Wash.",Gonzaga Prep,football,washington
158,Michael Neal,"Fontana, Calif.",Etiwanda,football,washington
159,Jacob Kizer,"Salem, Ore.",West Salem,football,washington
160,Cade Otton,"Olympia, Wash.",Tumwater,football,washington
161,Drew Sample,"Bellevue, Wash.",Newport,football,washington
162,John Gardner,"Woodinville, Wash.",Inglemoor,football,washington
163,Josiah Bronson,"Kent, Wash.",Kentwood,football,washington
164,Tuli Letuligasenoa,"Concord, Calif.",De La Salle,football,washington
165,Jaylen Johnson,"Corona, Calif.",Centennial,football,washington
166,Jarryn Bush,"Lacey, Wash.",Timberline,football,washington
167,Sam Taimani,"Salt Lake City, Utah",East,football,washington
168,Levi Onwuzurike,"Allen, Texas",Allen,football,washington
169,Shane Bowman,"Bellevue, Wash.",Bellevue,football,washington
170,Jason Scrempos,"Milpitas, Calif.",Milpitas,football,washington
171,Mosiah Nasili-Liu,"Puyallup, Wash.",Emerald Ridge,football,washington
172,Greg Gaines,"La Habra, Calif.",La Habra,football,washington
173,Andrew Morrison,"Houston, Texas",N/A,mens soccer,washington
174,Saif Kerawala,"Bellevue, Wash.",Issaquah HS,mens soccer,washington
175,Kasey French,"Lacey, Wash.",Timberline HS,mens soccer,washington
176,Quentin Pearson,"Longmont, Colo.",St. Vrain Global Online Academy,mens soccer,washington
177,Corban Anderson,"Roseville, Calif.",Granite Bay HS,mens soccer,washington
178,Ethan Bartlow,"Woodinville, Wash.",The Overlake School,mens soccer,washington
179,Luke Hauswirth,"Woodbury, Minn.",Woodbury HS,mens soccer,washington
180,Jaret Townsend,"Highlands Ranch, Colo.",Arapahoe HS,mens soccer,washington
181,James Smith,"Oxford, England",Sandwell Academy,mens soccer,washington
182,Dylan Teves,"Kailua, Hawaii",N/A,mens soccer,washington
183,Kyle Coffee,"Syracuse, Utah",Syracuse HS,mens soccer,washington
184,Scott Menzies,"Vancouver, Canada",Rockridge Secondary,mens soccer,washington
185,Tyler Smith,"Spokane Valley, Wash.",Mt. Spokane HS,mens soccer,washington
186,John Magnus,"Snohomish, Wash.",Snohomish HS,mens soccer,washington
187,Joey Parish,"Redmond, Wash.",Redmond HS,mens soccer,washington
188,Ryan Degroot,"Tacoma, Wash.",Bellarmine Prep,mens soccer,washington
189,Jasper Malamud,"Seattle, Wash.",Shattuck St. Mary's,mens soccer,washington
190,Jesse Fitzgerald,"Los Angeles, Calif.",Notre Dame HS,mens soccer,washington
191,Charlie Ostrem,"Shoreline, Wash.",Shorewood HS,mens soccer,washington
192,Cole Grimsby,"Redmond, Wash.",Woodinville HS,mens soccer,washington
193,Ryan Crowley,"Golden, Colo.",Golden HS,mens soccer,washington
194,Freddy Kleemann,"Newbury Park, Calif.",Newbury Park HS,mens soccer,washington
195,Bryce Logan,"Everson, Wash.",Mt. Baker HS,mens soccer,washington
196,Stirling Russell,"Bellevue, Wash.",Interlake HS,mens soccer,washington
197,Daniel Ribas,"Guayaquil, Ecuador",Torremar HS,mens soccer,washington
198,Andrew Conwell,"Brentwood, Tenn.",Montgomery Bell Academy,mens soccer,washington
199,Noah Whitman,"Spokane Valley, Wash.",Washington East HS,mens soccer,washington
200,Michael Rojas,"Othello, Wash.",Royal HS,mens soccer,washington
201,Lucas Meek,"Mercer Island, Wash.",Mercer Island HS,mens soccer,washington
202,Gio Migglietti,"Hawthorne, Calif.",El Segundo HS,mens soccer,washington
203,Sam Tessler,"Palos Verdes, Calif.",Palos Verdes HS,mens soccer,washington
204,Ryan Sailor,"Centennial, Colo.",Arapahoe HS,mens soccer,washington
205,Blake Bodily,"Eagle, Idaho",Tigard HS,mens soccer,washington
206,Siena Ruelas,"Downey, Calif.",Los Alamitos High School,womens soccer,washington
207,Dani Hansen,"Broomfield, Colo.",N/A,womens soccer,washington
208,Taylor Sekyra,"Kirkland, Wash.",Lake Washington High School,womens soccer,washington
209,Kaylene Pang,"Bellevue, Wash.",Issaquah High School,womens soccer,washington
210,Natasa Eleftheriou,"Rolling Hills, Calif.",Palos Verdes High School,womens soccer,washington
211,Lisa Jensen,"Shoreline, Wash.",Shorewood High School,womens soccer,washington
212,Claudia Longo,"Issaquah, Wash.",Issaquah,womens soccer,washington
213,Jessika Cowart,"Redwood City, Calif.",Woodside High School,womens soccer,washington
214,Ameera Hussen,"Federal Way, Wash.",Todd Beamer High School,womens soccer,washington
215,Mireya Grey,"Seattle, Wash.",Seattle Academy,womens soccer,washington
216,Summer Yates,"Pasco, Wash.",Chiawana,womens soccer,washington
217,Shae Holmes,"Highlands Ranch, Colo.",Thunder Ridge,womens soccer,washington
218,Pascale Dumesnil,"San Diego, Calif.",Bonita Vista High School,womens soccer,washington
219,Jessica Udovich,"Puyallup, Wash.",Puyallup High School,womens soccer,washington
220,Cassidy Lucht,"San Diego, Calif.",Rancho Bernardo,womens soccer,washington
221,Sianna Siemonsma,"Newport Beach, Calif.",Newport Harbor High School,womens soccer,washington
222,Tasia Kravitz,"Hillsborough, Calif.",San Mateo,womens soccer,washington
223,Kennedy Smith,"Irvine, Calif.",Irvine High School,womens soccer,washington
224,Sam Kokoska,"Carmel, Ind.",Carmel High School,womens soccer,washington
225,Ruby Hellstrom,"San Diego, Calif.",La Costa Canyon,womens soccer,washington
226,Olivia Van der Jagt,"Kent, Wash.",Kentridge High School,womens soccer,washington
227,Anissa Dadkhah,"San Diego, Calif.",Torrey Pines High School,womens soccer,washington
228,Vanessa Millsaps,"Los Alamitos, Calif.",Los Alamitos,womens soccer,washington
229,Asia Brisco,"Renton, Wash.",Renton High School,womens soccer,washington
230,Isabella Castro,"Rocklin, Calif.",Rocklin High School,womens soccer,washington
231,MaKayla Woods,"Vancouver, Wash.",Union,womens soccer,washington
232,Anna Miller,"Issaquah, Wash.",Issaquah,womens soccer,washington
