,name,hometown,high school,school,name text,hometown text,high school text,school text,sport,college
5,Stephen Pitarra,"Cary, N.C.",Green Hope,Green Hope,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
6,Will Wilson,"Kings Mountain, N.C.",Kings Mountain,Kings Mountain,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
7,David Harrison,"Rocky Mount, N.C.",Rocky Mount,Rocky Mount,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
8,Lawson McArthur,"Charlotte, N.C.",South Mecklenburg,South Mecklenburg,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
9,Brad Debo,"Durham, N.C.",Orange,Orange,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
10,Brock Deatherage,"Burlington, N.C.",Western Alamance,Western Alamance,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
11,Josh McLain,"Hiddenite, N.C.",Alexander Central,Alexander Central,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
12,Shane Shepard,"Wilmington, N.C.",Eugene Ashley,Eugene Ashley,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
13,Dillon Cooper,"Raleigh, N.C.",Leesville Road,Leesville Road,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
14,Evan Edwards,"Greensboro, N.C.",Southern Guilford (USC Lancaster),Southern Guilford (USC Lancaster),Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
15,Dalton Feeney,"Bismarck, N.D.",Century,Century,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
16,Austin Staley,"North Wilkesboro, N.C.",Wilkes Central,Wilkes Central,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
17,Jack Conley,"Raleigh, N.C.",Leesville Road,Leesville Road,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
18,Brady Gulakowski,"Pittsburgh, Pa.",Chartiers Valley,Chartiers Valley,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
19,Michael Bienlien,"Chesapeake, Va.",Great Bridge,Great Bridge,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
20,James Vaughan,"West Palm Beach, Fla.",The King's Academy,The King's Academy,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
21,Reid Johnston,"Enfield, N.C.",Rocky Mount Academy,Rocky Mount Academy,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
22,Mathieu Gauthier,"Candiac, Quebec",Lower Canada College,Lower Canada College,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
23,Hunter Baker,"Huntersville, N.C.",William A. Hough,William A. Hough,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
24,Steven Oakley,"Durham, N.C.",C.E. Jordan,C.E. Jordan,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
25,Johnny Piedmonte,"Davidson, N.C.",William A. Hough,William A. Hough,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
26,Evan Justice,"Richmond, Va.",Collegiate,Collegiate,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
27,Cameron Cotter,"Summerfield, N.C.",Northern Guilford,Northern Guilford,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
28,Brian Brown,"Glenmoore, Pa.",Coatesville Area,Coatesville Area,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
29,Nolan Clenney,"Novi, Mich.",Catholic Central (Brunswick CC),Catholic Central (Brunswick CC),Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
30,Joe O'Donnell,"Wilmington, N.C.",Hoggard,Hoggard,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
31,J.T. Jarrett,"Greensboro, N.C.",Northern Guilford,Northern Guilford,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
32,Connor Centala,"Tampa, Fla.",Sickles,Sickles,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
33,Kent Klyman,"Williamsburg, Va.",Jamestown,Jamestown,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
34,Josh Pike,"Summerfield, N.C.",Northern Guilford,Northern Guilford,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
35,Nick Swiney,"Huntersville, N.C.",William A. Hough,William A. Hough,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
36,Cole Hooper,"Sylva, N.C.",Smoky Mountain,Smoky Mountain,Name,Hometown,High School (Last School),High School (Last School),baseball,nc_state
0,"Louis, Stephen","West Palm Beach, Fla.",N/A,Palm Beach Lakes,Full Name,Hometown,N/A,Last School,football,nc_state
1,"Acceus, Louis","Spring Valley, N.Y.",N/A,St. Joseph,Full Name,Hometown,N/A,Last School,football,nc_state
2,"Harmon, Kelvin","Palmyra, N.J.",N/A,Palmyra,Full Name,Hometown,N/A,Last School,football,nc_state
3,"Pratt, Germaine","High Point, N.C.",N/A,Central,Full Name,Hometown,N/A,Last School,football,nc_state
4,"McCloud, Nick","Rock Hill, S.C.",N/A,South Pointe,Full Name,Hometown,N/A,Last School,football,nc_state
5,"Rhem, Damontay","Wendell, N.C.",N/A,East Wake/UNCP,Full Name,Hometown,N/A,Last School,football,nc_state
6,"Angeline, Cary","Chester Springs, Pa.",N/A,Downington East/USC,Full Name,Hometown,N/A,Last School,football,nc_state
7,"McKay, Matthew","Raleigh, N.C.",N/A,Wakefield,Full Name,Hometown,N/A,Last School,football,nc_state
8,"Phillips, Jr., Freddie","Pelion, S.C.",N/A,Pelion,Full Name,Hometown,N/A,Last School,football,nc_state
9,"Trowell, Maurice","Durham, N.C.",N/A,Southern Durham,Full Name,Hometown,N/A,Last School,football,nc_state
10,"Ingle, Tanner","Orlando, Fla.",N/A,Dr. Phillips,Full Name,Hometown,N/A,Last School,football,nc_state
11,"Leon, Micah","Boynton Beach, Fla.",N/A,Boca Raton,Full Name,Hometown,N/A,Last School,football,nc_state
12,"Meyers, Jakobi","Lithonia, Ga.",N/A,Arabia Mountain,Full Name,Hometown,N/A,Last School,football,nc_state
13,"Wilson, Payton","Hillsborough, N.C.",N/A,Orange,Full Name,Hometown,N/A,Last School,football,nc_state
14,"Perkins, Jory","Sanford, N.C.",N/A,Lee County,Full Name,Hometown,N/A,Last School,football,nc_state
15,"Leary, Devin","Sicklerville, N.J.",N/A,Timber Creek,Full Name,Hometown,N/A,Last School,football,nc_state
16,"Morrison, Stephen","Weddington, N.C.",N/A,Weddington,Full Name,Hometown,N/A,Last School,football,nc_state
17,"Cornwell, Woody","Lake Junaluska, N.C.",N/A,Tuscola,Full Name,Hometown,N/A,Last School,football,nc_state
18,"Wright, Dexter","Wilson, N.C.",N/A,Hunt,Full Name,Hometown,N/A,Last School,football,nc_state
19,"Finley, Ryan","Phoenix, Ariz.",N/A,Paradise Valley/Boise State,Full Name,Hometown,N/A,Last School,football,nc_state
20,"Ingram, Chris","Mooresville, N.C.",N/A,Mooresville,Full Name,Hometown,N/A,Last School,football,nc_state
21,"Dunlap, Malik","Charlotte, N.C.",N/A,Harding University,Full Name,Hometown,N/A,Last School,football,nc_state
22,"Riley, C.J.","Coconut Creek, Fla.",N/A,North Broward Prep,Full Name,Hometown,N/A,Last School,football,nc_state
23,"Person, Jr., Ricky","Wake Forest, N.C.",N/A,Heritage,Full Name,Hometown,N/A,Last School,football,nc_state
24,"Smith, Teshaun","Fort Lauderdale, Fla.",N/A,Western,Full Name,Hometown,N/A,Last School,football,nc_state
25,"Griffin, Stephen","Charlotte, N.C.",N/A,South Mecklenburg,Full Name,Hometown,N/A,Last School,football,nc_state
26,"Stallings, Isaiah","Fayetteville, N.C.",N/A,Terry Sanford,Full Name,Hometown,N/A,Last School,football,nc_state
27,"Graves, De'Von","Appomattox, Va.",N/A,Appomattox County,Full Name,Hometown,N/A,Last School,football,nc_state
28,"Robinson, Jr., Nakia","Miami, Fla.",N/A,Miami Jackson,Full Name,Hometown,N/A,Last School,football,nc_state
29,"Gallaspy II, Reggie","High Point, N.C.",N/A,Southern Guilford,Full Name,Hometown,N/A,Last School,football,nc_state
30,"Palmer, Taiyon","Lawrenceville, Ga.",N/A,Archer,Full Name,Hometown,N/A,Last School,football,nc_state
31,"Duffy-Webb, Isaac","Binghamton, N.Y.",N/A,Clayton,Full Name,Hometown,N/A,Last School,football,nc_state
32,"Pennix, Trent","Raleigh, N.C.",N/A,Sanderson,Full Name,Hometown,N/A,Last School,football,nc_state
33,"Grier, Vernon","Charlotte, N.C.",N/A,Mallard Creek,Full Name,Hometown,N/A,Last School,football,nc_state
34,"Miller, Kishawn","Buffalo, N.Y.",N/A,Mill Creek (Ga.)/Georgia Military,Full Name,Hometown,N/A,Last School,football,nc_state
35,"Parham, Dylan","Raleigh, N.C.",N/A,Southeast,Full Name,Hometown,N/A,Last School,football,nc_state
36,"Braxton, Marquise","Greenville, N.C.",N/A,Rose,Full Name,Hometown,N/A,Last School,football,nc_state
37,"McNeill, Alim","Raleigh, N.C.",N/A,Sanderson,Full Name,Hometown,N/A,Last School,football,nc_state
38,"Hart, Calvin","Fort Lauderdale, Fla.",N/A,American Heritage,Full Name,Hometown,N/A,Last School,football,nc_state
39,"Dabbs, Tyler","Eden, N.C.",N/A,Morehead,Full Name,Hometown,N/A,Last School,football,nc_state
40,"Morehead, Jarius","Whitsett, N.C.",N/A,East Guilford,Full Name,Hometown,N/A,Last School,football,nc_state
