,name,hometown,high school?,sport,college
79,Cody French,"Roswell, N.M.",Goddard,football,arizona_state
80,John Humphrey,"League City, Texas",Clear Falls,football,arizona_state
81,Darien Cornay,"Los Alamitos, Calif.",Los Alamitos,football,arizona_state
82,Ryan Jenkins,"Marietta, Ga.",Lassiter,football,arizona_state
83,Ryan Kelley,"Chandler, Ariz.",Basha,football,arizona_state
84,Stanley Lambert,"San Antonio, Texas",John Marshall,football,arizona_state
85,Cam  Phillips,"Houston, Texas",Clear Lake,football,arizona_state
86,Dillon Sterling-Cole,"Houston, Texas",Westfield,football,arizona_state
87,Bobby Avina,"Modesto, Calif.",Gregori,football,arizona_state
88,Aashari Crosswell,"Long Beach, Calif.",Long Beach Poly,football,arizona_state
89,Ryan Newsome,"Aledo, Texas",Aledo,football,arizona_state
90,Langston Frederick,"League City, Texas",Clear Springs,football,arizona_state
91,Matthew Bazarevitsch,"Pasadena, Calif.",Saint Francis,football,arizona_state
92,Terrell Chatman,"Baton Rouge, La.",Central,football,arizona_state
93,Khaylan Kearse-Thomas,"Rancho Cucamonga, Calif.",Etiwanda,football,arizona_state
94,Terin Adams,"Kirkland, Wash.",San Francisco City College,football,arizona_state
95,Mark Cosgrove,"Mullica Hill, N.J.",Pennsville Memorial,football,arizona_state
96,Nick Ralston,"Argyle, Texas",Argyle,football,arizona_state
97,Tyler Whiley,"Scottsdale, Ariz.",Chaparral,football,arizona_state
98,Chase Lucas,"Chandler, Ariz.",Chandler,football,arizona_state
99,Preston Liger,"Miami, Fla.",St. Thomas Aquinas,football,arizona_state
100,Trelon Smith,"Houston, Texas",Cy Ridge HS,football,arizona_state
101,Michael Turk,"Dallas, Texas",Ridge Point,football,arizona_state
102,Keith Davis,"San Diego, Calif.",Scripps Ranch,football,arizona_state
103,Ty Thomas,"Lubbock, Texas",Cooper,football,arizona_state
104,Demonte King,"Bellflower, Calif.",Los Alamitos,football,arizona_state
105,Angel Ruiz,"Peoria, Ariz.",Sunrise Mountain,football,arizona_state
106,A.J.  Carter,"Many, La.",Many,football,arizona_state
107,Dasmond Tautalatasi,"Concord, Calif.",De La Salle,football,arizona_state
108,Isaiah Floyd,"Pleasanton, Calif.",Foothill,football,arizona_state
109,Tavian Gould,"Southlake, Texas",Southlake Carroll,football,arizona_state
110,Paul Lucas,"Phoenix, Ariz.",Mountain Pointe,football,arizona_state
111,Kyle Soelle,"Scottsdale, Ariz.",Saguaro,football,arizona_state
112,Brock Sturges,"Allen, Texas",Allen,football,arizona_state
113,Alijah  Gammage,"Phoenix, Ariz.",Desert Vista,football,arizona_state
114,Michael Sleep-Dalton,"Geelong, Victoria, Australia",St. Joseph's College,football,arizona_state
115,Darien Butler,N/A,N/A,football,arizona_state
116,Malik Lawal,"Temecula, Calif.",Chaparral,football,arizona_state
117,Tyler Johnson,"Gilbert, Ariz.",Highland,football,arizona_state
